dataname,method,n_samples,n_neighbors,1-NN,Trustworthiness,Continuity
swiss,hlle.skl,3000,8,0.043,0.999,0.999
swiss,ltsa.skl,3000,8,0.043,0.999,0.999
helix,lle,3000,8,0.01,0.9999,1.0
helix,lle.skl,3000,10,0.038,0.982,0.993
helix,le.skl,3000,7,0.012,0.9999,1.0
helix,hlle.skl,3000,10,0.017,0.995,0.999
helix,ltsa.skl,3000,8,0.016,0.996,0.998
twinpeaks,lle,3000,8,0.007,0.992,0.997
twinpeaks,lle.skl,3000,10,0.016,0.993,0.996
twinpeaks,le.skl,3000,8,0.01,0.994,0.997
twinpeaks,hlle.skl,3000,9,0.005,0.986,0.995
twinpeaks,ltsa.skl,3000,6,0.007,0.988,0.995
broken.swiss,lle,3000,5,0.373,0.943,0.868
broken.swiss,lle.skl,3000,5,0.304,0.872,0.987
broken.swiss,le.skl,3000,5,0.259,0.904,0.995
broken.swiss,hlle.skl,3000,6,0.29,0.997,0.873
broken.swiss,ltsa.skl,3000,5,0.285,0.997,0.874
difficult,lle,3000,5,0.503,0.786,0.938
difficult,lle.skl,3000,6,0.474,0.698,0.868
difficult,le.skl,3000,5,0.464,0.778,0.951
difficult,hlle.skl,3000,9,0.473,0.829,0.939
difficult,ltsa.skl,3000,9,0.489,0.884,0.952
swiss,none,3000,None,0.043,None,None
helix,none,3000,None,0.015,None,None
twinpeaks,none,3000,None,0.008,None,None
difficult,none,3000,None,0.316,None,None
broken.swiss,isomap.nystrom,3000,7,0.502,0.9564,0.501
swiss,isomap.nystrom,3000,9,0.508,0.9514,0.502
